Prompt,Setting,Confabulation Type,gpt-5-chat,GPT-4o-mini
Drug Dosing Prompt (generic drug dataset),Default,Overall confabulations,"0.3% [0.0, 0.7]","0.4% [0.0, 1.2]"
,,Inherited confabulations,"0.0% [0.0, 0.0]","0.4% [0.0, 1.2]"
,,Epistemic confabulations,"0.3% [0.0, 0.7]","0.0% [0.0, 0.0]"
,Default + Mitigation,Overall confabulations,"0.3% [0.0, 1.1]","0.1% [0.0, 0.4]"
,,Inherited confabulations,"0.0% [0.0, 0.0]","0.0% [0.0, 0.0]"
,,Epistemic confabulations,"0.3% [0.0, 0.8]","0.1% [0.0, 0.4]"
,Temp 0,Overall confabulations,"0.0% [0.0, 0.0]","0.4% [0.0, 1.2]"
,,Inherited confabulations,"0.0% [0.0, 0.0]","0.4% [0.0, 1.2]"
,,Epistemic confabulations,"0.0% [0.0, 0.0]","0.0% [0.0, 0.0]"
Drug Dosing Prompt (brand drug dataset),Default,Overall confabulations,,"0.4% [0.0, 1.2]"
,,Inherited confabulations,,"0.4% [0.0, 1.2]"
,,Epistemic confabulations,,"0.0% [0.0, 0.0]"
,Default + Mitigation,Overall confabulations,,"0.0% [0.0, 0.0]"
,,Inherited confabulations,,"0.0% [0.0, 0.0]"
,,Epistemic confabulations,,"0.0% [0.0, 0.0]"
,Temp 0,Overall confabulations,,"0.4% [0.0, 1.2]"
,,Inherited confabulations,,"0.4% [0.0, 1.2]"
,,Epistemic confabulations,,"0.0% [0.0, 0.0]"
Medication Indication Prompt (generic drug dataset),Default,Overall confabulations,"0.3% [0.0, 0.8]","0.0% [0.0, 0.0]"
,,Inherited confabulations,"0.0% [0.0, 0.0]","0.0% [0.0, 0.0]"
,,Epistemic confabulations,"0.3% [0.0, 0.8]","0.0% [0.0, 0.0]"
,Default + Mitigation,Overall confabulations,"0.0% [0.0, 0.0]","0.0% [0.0, 0.0]"
,,Inherited confabulations,"0.0% [0.0, 0.0]","0.0% [0.0, 0.0]"
,,Epistemic confabulations,"0.0% [0.0, 0.0]","0.0% [0.0, 0.0]"
,Temp 0,Overall confabulations,"0.3% [0.0, 0.8]","0.1% [0.0, 0.4]"
,,Inherited confabulations,"0.0% [0.0, 0.0]","0.0% [0.0, 0.0]"
,,Epistemic confabulations,"0.3% [0.0, 0.8]","0.1% [0.0, 0.4]"
Medication Indication Prompt (brand drug dataset),Default,Overall confabulations,,"0.0% [0.0, 0.0]"
,,Inherited confabulations,,"0.0% [0.0, 0.0]"
,,Epistemic confabulations,,"0.0% [0.0, 0.0]"
,Default + Mitigation,Overall confabulations,,"0.0% [0.0, 0.0]"
,,Inherited confabulations,,"0.0% [0.0, 0.0]"
,,Epistemic confabulations,,"0.0% [0.0, 0.0]"
,Temp 0,Overall confabulations,,"0.0% [0.0, 0.0]"
,,Inherited confabulations,,"0.0% [0.0, 0.0]"
,,Epistemic confabulations,,"0.0% [0.0, 0.0]"
